alloy_id,alloy_system,year,zinc,magnesium,aluminum,copper,silver,ultimate_tensile_strength,yield_strength,elongation,hardness,elastic_modulus,casting_method,annealing_temperature,aging_temperature,aging_time
ZnMg1.6_001,Zn-Mg,,98.4,1.6,,,,,,,97.0,,,,,
ZnMg1.6_001,Zn-Mg,,98.4,1.6,,,,,,,97.0,,,,,
ZnMg1.6_001,Zn-Mg,,98.4,1.6,,,,,,,97.0,,,,,
ZnMg1.6_001,Zn-Mg,,98.4,1.6,,,,,,,97.0,,,,,
ZnMg1.6_001,Zn-Mg,,98.4,1.6,,,,,,,97.0,,,,,
ZnMg1.6_001,Zn-Mg,,98.4,1.6,,,,,,,97.0,,,,,
ZnMg1.6_001,Zn-Mg,,98.4,1.6,,,,,,,97.0,,,,,
ZnMg1.6_001,Zn-Mg,,98.4,1.6,,,,,,,97.0,,,,,
ZnMg1.5_001,Al-Zn-Mg-Cu,,,,,,,,,,,,,,,
ZnMg1.5_001,Al-Zn-Mg-Cu,,,,,,,,,,,,,,,
ZnMg1.5_001,Al-Zn-Mg-Cu,,,,,,,,,,,,,,,
ZnMg1.5_001,Al-Zn-Mg-Cu,,,,,,,,,,,,,,,
ZnMg1.5_001,Al-Zn-Mg-Cu,,,,,,,,,,,,,,,
ZnMg1.5_001,Al-Zn-Mg-Cu,,,,,,,,,,,,,,,
ZnMg1.5_001,Al-Zn-Mg-Cu,,,,,,,,,,,,,,,
ZnMg1.5_001,Al-Zn-Mg-Cu,,,,,,,,,,,,,,,
ZnCu2Ti0.05_001,Zn-Cu-Ti,,97.95,,,,,,,,,,electric resistance furnace, poured into steel mold preheated at 150°C,,,
ZnCu2Ti0.05_001,Zn-Cu-Ti,,97.95,,,,,,,,,,electric resistance furnace, poured into steel mold preheated at 150°C,,,
ZnCu2Ti0.05_001,Zn-Cu-Ti,,97.95,,,,,,,,,,electric resistance furnace, poured into steel mold preheated at 150°C,,,
ZnCu2Ti0.05_001,Zn-Cu-Ti,,97.95,,,,,,,,,,electric resistance furnace, poured into steel mold preheated at 150°C,,,
ZnCu2Ti0.05_001,Zn-Cu-Ti,,97.95,,,,,,,,,,electric resistance furnace, poured into steel mold preheated at 150°C,,,
ZnCu2Ti0.05_001,Zn-Cu-Ti,,97.95,,,,,,,,,,electric resistance furnace, poured into steel mold preheated at 150°C,,,
ZnCu2Ti0.05_001,Zn-Cu-Ti,,97.95,,,,,,,,,,electric resistance furnace, poured into steel mold preheated at 150°C,,,
ZnCu2Ti0.05_001,Zn-Cu-Ti,,97.95,,,,,,,,,,electric resistance furnace, poured into steel mold preheated at 150°C,,,
Zn1Mg_001,Zn-Mg-RE,,98.9,1.0,,,,,,,,,gravity casting,,,
Zn1Mg_001,Zn-Mg-RE,,98.9,1.0,,,,,,,,,gravity casting,,,
Zn1Mg_001,Zn-Mg-RE,,98.9,1.0,,,,,,,,,gravity casting,,,
Zn1Mg_001,Zn-Mg-RE,,98.9,1.0,,,,,,,,,gravity casting,,,
Zn1Mg_001,Zn-Mg-RE,,98.9,1.0,,,,,,,,,gravity casting,,,
Zn1Mg_001,Zn-Mg-RE,,98.9,1.0,,,,,,,,,gravity casting,,,
Zn1Mg_001,Zn-Mg-RE,,98.9,1.0,,,,,,,,,gravity casting,,,
Zn1Mg_001,Zn-Mg-RE,,98.9,1.0,,,,,,,,,gravity casting,,,
Mg97.94Zn0.56Y1.5_001,Mg-Zn-Y,,0.56,97.94,,,,,362.0,18.2,,,,,,
Mg97.94Zn0.56Y1.5_001,Mg-Zn-Y,,0.56,97.94,,,,,362.0,18.2,,,,,,
Mg97.94Zn0.56Y1.5_001,Mg-Zn-Y,,0.56,97.94,,,,,362.0,18.2,,,,,,
Mg97.94Zn0.56Y1.5_001,Mg-Zn-Y,,0.56,97.94,,,,,362.0,18.2,,,,,,
