批量导入报告 - 2026-04-24 22:25:37
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\Al-Zn-Mg
产品名称: Al-Zn-Mg 合金
文档类型: paper
============================================================

总计: 161 | 成功: 161 | 失败: 0

成功文件:
  ✅ 1-s2.0-S0010938X16311684-main.pdf: 成功, document_id: 01c499ec-e435-4b
  ✅ 1-s2.0-S0010938X17303475-main.pdf: 成功, document_id: 1556f303-d43d-4c
  ✅ 1-s2.0-S0010938X1931220X-main.pdf: 成功, document_id: 39761099-6e61-4f
  ✅ 1-s2.0-S0013794419302784-main.pdf: 成功, document_id: 2a86a109-68b7-4c
  ✅ 1-s2.0-S0042207X22001270-main.pdf: 成功, document_id: 061c60a3-dd7f-4c
  ✅ 1-s2.0-S0042207X23006887-main.pdf: 成功, document_id: 9432d5f4-ac65-4f
  ✅ 1-s2.0-S014211232600143X-main.pdf: 成功, document_id: 2d4b27e3-7355-4f
  ✅ 1-s2.0-S0167577X18309339-main.pdf: 成功, document_id: 13dd0262-3c6e-48
  ✅ 1-s2.0-S0167577X19312303-main.pdf: 成功, document_id: 8339f291-d422-44
  ✅ 1-s2.0-S0167577X22000295-main.pdf: 成功, document_id: 7219996c-ec30-4e
  ✅ 1-s2.0-S0167577X23000642-main.pdf: 成功, document_id: 6a7ff48f-3e5f-4f
  ✅ 1-s2.0-S0167577X25002642-main.pdf: 成功, document_id: b21bee96-d6e8-4a
  ✅ 1-s2.0-S0254058423009240-main.pdf: 成功, document_id: b4cad9ca-3e33-42
  ✅ 1-s2.0-S0263823125005348-main.pdf: 成功, document_id: 6b121887-dd7b-45
  ✅ 1-s2.0-S0264127519303399-main.pdf: 成功, document_id: 133bd389-dfd1-40
  ✅ 1-s2.0-S0264127522006487-main.pdf: 成功, document_id: 94709d0f-4b14-40
  ✅ 1-s2.0-S0360319925006883-main.pdf: 成功, document_id: 8f19e35c-7fa9-40
  ✅ 1-s2.0-S0921509314012106-main.pdf: 成功, document_id: e6d564ff-07c6-4f
  ✅ 1-s2.0-S0921509315005857-main.pdf: 成功, document_id: f0a0ef2e-b16f-4d
  ✅ 1-s2.0-S0921509316300387-main.pdf: 成功, document_id: 743f2a94-50d5-40
  ✅ 1-s2.0-S0921509317301697-main.pdf: 成功, document_id: 698984c6-01f9-4c
  ✅ 1-s2.0-S0921509317305270-main.pdf: 成功, document_id: 07fa793c-d92c-4b
  ✅ 1-s2.0-S0921509318309018-main.pdf: 成功, document_id: 98189ee0-90e5-4e
