批量导入报告 - 2026-04-25 16:13:42
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\Al-Zn-Mg
产品名称: Al-Zn-Mg 合金
文档类型: paper
============================================================

总计: 161 | 成功: 161 | 失败: 0

成功文件:
  ✅ 1-s2.0-S0010938X16311684-main.pdf: 成功, document_id: 2803e762-21be-43
  ✅ 1-s2.0-S0010938X17303475-main.pdf: 成功, document_id: 51766b78-407a-4c
  ✅ 1-s2.0-S0010938X1931220X-main.pdf: 成功, document_id: ea3e5d24-f625-4f
  ✅ 1-s2.0-S0013794419302784-main.pdf: 成功, document_id: 2b94cb43-08b4-43
  ✅ 1-s2.0-S0042207X22001270-main.pdf: 成功, document_id: 0628cfb8-6847-45
  ✅ 1-s2.0-S0042207X23006887-main.pdf: 成功, document_id: 205259b7-2363-4c
  ✅ 1-s2.0-S014211232600143X-main.pdf: 成功, document_id: 5a34501b-cb98-4b
  ✅ 1-s2.0-S0167577X18309339-main.pdf: 成功, document_id: e32539ab-4079-44
  ✅ 1-s2.0-S0167577X19312303-main.pdf: 成功, document_id: b2c6f08c-a344-47
  ✅ 1-s2.0-S0167577X22000295-main.pdf: 成功, document_id: ecd7085c-6837-4c
  ✅ 1-s2.0-S0167577X23000642-main.pdf: 成功, document_id: 126b53d2-23b1-47
  ✅ 1-s2.0-S0167577X25002642-main.pdf: 成功, document_id: 1799c587-f20b-4b
  ✅ 1-s2.0-S0254058423009240-main.pdf: 成功, document_id: 26a04b81-a393-43
  ✅ 1-s2.0-S0263823125005348-main.pdf: 成功, document_id: b749e6e9-6453-49
  ✅ 1-s2.0-S0264127519303399-main.pdf: 成功, document_id: f9a4a81b-6fb1-4b
  ✅ 1-s2.0-S0264127522006487-main.pdf: 成功, document_id: 223d33b9-fffb-43
  ✅ 1-s2.0-S0360319925006883-main.pdf: 成功, document_id: 32a2934a-473d-48
  ✅ 1-s2.0-S0921509314012106-main.pdf: 成功, document_id: 57516092-8a6f-40
  ✅ 1-s2.0-S0921509315005857-main.pdf: 成功, document_id: fe819160-520c-42
  ✅ 1-s2.0-S0921509316300387-main.pdf: 成功, document_id: 138af189-dcd9-4b
  ✅ 1-s2.0-S0921509317301697-main.pdf: 成功, document_id: af0e7cc5-9172-43
  ✅ 1-s2.0-S0921509317305270-main.pdf: 成功, document_id: 5eae737c-1cb3-4c
  ✅ 1-s2.0-S0921509318309018-main.pdf: 成功, document_id: 0fd3d377-57f5-40
  ✅ 1-s2.0-S092150931831548X-main.pdf: 成功, document_id: e4a2a81e-f6f5-42
  ✅ 1-s2.0-S0921509319313681-main.pdf: 成功, document_id: 6f056fbb-9d73-43
