批量导入报告 - 2026-04-25 16:55:51
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\Mg
产品名称: Mg 合金
文档类型: paper
============================================================

总计: 136 | 成功: 136 | 失败: 0

成功文件:
  ✅ 085126_1_online.pdf: 成功, document_id: f1f77435-2ff9-47
  ✅ 1-s2.0-S0042207X2300427X-main.pdf: 成功, document_id: b6b6ae08-7622-44
  ✅ 1-s2.0-S0042207X23006061-main.pdf: 成功, document_id: 5a81ca99-a596-4d
  ✅ 1-s2.0-S0042207X25003264-main.pdf: 成功, document_id: 6a141f47-376b-44
  ✅ 1-s2.0-S0167577X18302192-main.pdf: 成功, document_id: 72e357c0-8d62-44
  ✅ 1-s2.0-S0167577X21001919-main.pdf: 成功, document_id: 8f34bc40-7fb3-4a
  ✅ 1-s2.0-S0167577X22013659-main.pdf: 成功, document_id: 34626869-6f6d-45
  ✅ 1-s2.0-S0254058416302978-main.pdf: 成功, document_id: f185e71b-0903-48
  ✅ 1-s2.0-S0264127519304228-main.pdf: 成功, document_id: 13c09954-a535-40
  ✅ 1-s2.0-S0264127525009967-main.pdf: 成功, document_id: 56e80d34-7b32-41
  ✅ 1-s2.0-S0364591618302116-main.pdf: 成功, document_id: 03997c8f-a22d-4c
  ✅ 1-s2.0-S0921509316306153-main.pdf: 成功, document_id: 3b689461-a86a-45
  ✅ 1-s2.0-S0921509316306906-main.pdf: 成功, document_id: c605bbb5-9ed6-48
  ✅ 1-s2.0-S0921509316313739-main.pdf: 成功, document_id: 95d1023e-9138-46
  ✅ 1-s2.0-S0921509316314836-main.pdf: 成功, document_id: a9c7a036-05e6-43
  ✅ 1-s2.0-S0921509317302666-main.pdf: 成功, document_id: acc5c45f-8302-45
  ✅ 1-s2.0-S0921509317303490-main.pdf: 成功, document_id: e33da0de-72ee-49
  ✅ 1-s2.0-S0921509317304422-main.pdf: 成功, document_id: 5043de0a-860d-48
  ✅ 1-s2.0-S0921509318302004-main.pdf: 成功, document_id: 4ab9b4f2-287f-4e
  ✅ 1-s2.0-S0921509318304854-main.pdf: 成功, document_id: a45c8654-bbfc-4c
  ✅ 1-s2.0-S092150931930512X-main.pdf: 成功, document_id: b0ac6d71-25e0-42
  ✅ 1-s2.0-S0921509319307610-main.pdf: 成功, document_id: 0ce7d035-eb5f-4e
  ✅ 1-s2.0-S0921509319308007-main.pdf: 成功, document_id: c54c2d30-389c-4e
  ✅ 1-s2.0-S0921509320300204-main.pdf: 成功, document_id: a1627f05-136f-43
  ✅ 1-s2.0-S0921509320300241-main.pdf: 成功, document_id: 1bebfa84-665a-4d
  ✅ 1-s2.0-S0921509320302318-main.pdf: 成功, document_id: fa04b679-5fdc-41
  ✅ 1-s2.0-S0921509320315719-main.pdf: 成功, document_id: c896ad16-eb8f-4b
  ✅ 1-s2.0-S092150932100589X-main.pdf: 成功, document_id: 129a7c66-849f-4b
  ✅ 1-s2.0-S0921509322006864-main.pdf: 成功, document_id: c92a57ee-2a0a-43
  ✅ 1-s2.0-S0921509322013818-main.pdf: 成功, document_id: 8b547aec-8f0c-4b
  ✅ 1-s2.0-S0921509323001806-main.pdf: 成功, document_id: fa835ae3-527b-49
  ✅ 1-s2.0-S0921509323007463-main.pdf: 成功, document_id: 0036da94-8882-42
  ✅ 1-s2.0-S092583881531402X-main.pdf: 成功, document_id: bf2759df-bc2d-4b
  ✅ 1-s2.0-S0925838816324239-main.pdf: 成功, document_id: d78f6a79-c160-42
  ✅ 1-s2.0-S0925838816333989-main.pdf: 成功, document_id: 3a23771a-a5ca-4e
  ✅ 1-s2.0-S0925838817332413-main.pdf: 成功, document_id: 2b296ec8-4aaa-46
  ✅ 1-s2.0-S0925838817339002-main.pdf: 成功, document_id: 25aa213f-919a-4e
  ✅ 1-s2.0-S0925838818333292-main.pdf: 成功, document_id: e3568ae4-20ec-4d
  ✅ 1-s2.0-S0925838818338416-main.pdf: 成功, document_id: 73f2a031-1918-49
  ✅ 1-s2.0-S0925838819343683-main.pdf: 成功, document_id: 6df11503-0d4f-4c
  ✅ 1-s2.0-S0925838820320466-main.pdf: 成功, document_id: 2b4dcab9-014c-41
  ✅ 1-s2.0-S092583882032569X-main.pdf: 成功, document_id: f5466d3c-2490-47
  ✅ 1-s2.0-S0925838823042524-main.pdf: 成功, document_id: 2b67fda0-fa38-42
  ✅ 1-s2.0-S0925838824025623-main.pdf: 成功, document_id: 9c16b2a5-7a27-4d
  ✅ 1-s2.0-S0925838824044992-main.pdf: 成功, document_id: 42d381ee-b128-45
  ✅ 1-s2.0-S0925838825060815-main.pdf: 成功, document_id: 6882808f-802f-4f
  ✅ 1-s2.0-S0927025620304638-main.pdf: 成功, document_id: 1aedbf7c-d8a7-4b
  ✅ 1-s2.0-S0928493116303071-main.pdf: 成功, document_id: 7772e188-d95c-4b
