批量导入报告 - 2026-05-07 18:24:32
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\new
产品名称: 新合金论文
文档类型: paper
============================================================

总计: 530 | 成功: 530 | 失败: 0

成功文件:
  ✅ 1-s2.0-S0010938X13003429-main.pdf: 成功, document_id: 5867fc6c-8eee-4c
  ✅ 1-s2.0-S0010938X13004575-main.pdf: 成功, document_id: 2d6ecccd-11eb-47
  ✅ 1-s2.0-S0010938X16311684-main.pdf: 成功, document_id: 082b45de-ba39-44
  ✅ 1-s2.0-S0010938X16314081-main.pdf: 成功, document_id: bc02ecc2-a2d5-4d
  ✅ 1-s2.0-S0010938X17303475-main.pdf: 成功, document_id: 5d865487-bd65-40
  ✅ 1-s2.0-S0010938X1931220X-main.pdf: 成功, document_id: 5e213bdf-62e8-4d
  ✅ 1-s2.0-S0013794419302784-main.pdf: 成功, document_id: af6199c8-fdc6-49
  ✅ 1-s2.0-S0040603119309190-main.pdf: 成功, document_id: bf90a6f3-d8c2-49
  ✅ 1-s2.0-S0042207X22001270-main.pdf: 成功, document_id: 21f95729-d723-4e
  ✅ 1-s2.0-S0042207X22005875-main.pdf: 成功, document_id: a591e83e-de15-48
  ✅ 1-s2.0-S0042207X23006887-main.pdf: 成功, document_id: 7c06f3f0-7765-4f
  ✅ 1-s2.0-S0042207X26001648-main.pdf: 成功, document_id: da74bc27-1086-4f
  ✅ 1-s2.0-S014211232600143X-main.pdf: 成功, document_id: 2b8f412b-af28-42
  ✅ 1-s2.0-S0142112326001659-main.pdf: 成功, document_id: 569d4e77-821b-4a
  ✅ 1-s2.0-S0167577X16318602-main.pdf: 成功, document_id: eb121735-67ca-44
  ✅ 1-s2.0-S0167577X18309339-main.pdf: 成功, document_id: 005bf1d0-6376-4c
  ✅ 1-s2.0-S0167577X19312303-main.pdf: 成功, document_id: 416b1be8-6a45-4f
  ✅ 1-s2.0-S0167577X21012830-main.pdf: 成功, document_id: bc7c2037-5248-44
  ✅ 1-s2.0-S0167577X22000295-main.pdf: 成功, document_id: f64435fa-8753-47
  ✅ 1-s2.0-S0167577X23000642-main.pdf: 成功, document_id: be62e7cc-ad58-48
  ✅ 1-s2.0-S0167577X25002642-main.pdf: 成功, document_id: 48d6d5b6-a932-4a
  ✅ 1-s2.0-S0254058423009240-main.pdf: 成功, document_id: 7fd5e73d-c792-49
  ✅ 1-s2.0-S0254058423012270-main.pdf: 成功, document_id: 3c66ad5f-f2ac-45
  ✅ 1-s2.0-S0257897216306168-main (1).pdf: 成功, document_id: 89ce9998-bc29-4b
  ✅ 1-s2.0-S0257897216306168-main.pdf: 成功, document_id: 5e6ec911-3309-46
  ✅ 1-s2.0-S0261306913001891-main.pdf: 成功, document_id: 59aaa744-7317-4c
  ✅ 1-s2.0-S0261306914005457-main.pdf: 成功, document_id: afb6f15b-014d-4f
  ✅ 1-s2.0-S0263823118310449-main.pdf: 成功, document_id: 70401fe0-5d17-48
  ✅ 1-s2.0-S0263823125005348-main.pdf: 成功, document_id: f57df74a-573b-45
  ✅ 1-s2.0-S0264127515308480-main.pdf: 成功, document_id: 82564380-8a7a-4b
  ✅ 1-s2.0-S0264127519303399-main.pdf: 成功, document_id: 738f0248-37f5-4d
  ✅ 1-s2.0-S0264127520307188-main.pdf: 成功, document_id: b60b1bee-d68e-48
  ✅ 1-s2.0-S0264127522006487-main.pdf: 成功, document_id: 6c34e482-f68d-4c
  ✅ 1-s2.0-S0264127525002588-main.pdf: 成功, document_id: 10ccf5d9-4365-4e
  ✅ 1-s2.0-S0264127525015990-main.pdf: 成功, document_id: 9c3299f7-59b0-4d
  ✅ 1-s2.0-S0264127526001486-main.pdf: 成功, document_id: 41029726-8046-45
  ✅ 1-s2.0-S0272884221033939-main.pdf: 成功, document_id: 639d0546-1e8d-4e
  ✅ 1-s2.0-S0301679X21003364-main.pdf: 成功, document_id: 1fe01574-e8b3-44
  ✅ 1-s2.0-S0360319924018330-main.pdf: 成功, document_id: 395a7ee1-52fd-41
  ✅ 1-s2.0-S0360319924030684-main.pdf: 成功, document_id: 9e8d5c43-f66a-42
  ✅ 1-s2.0-S0360319925006883-main.pdf: 成功, document_id: c701d314-cc2e-46
  ✅ 1-s2.0-S036459162300127X-main.pdf: 成功, document_id: c5461517-1163-47
  ✅ 1-s2.0-S0364591624001056-main.pdf: 成功, document_id: 13f40b9a-1cfa-4b
  ✅ 1-s2.0-S0921509313005558-main.pdf: 成功, document_id: edabf329-859c-44
  ✅ 1-s2.0-S0921509314012106-main.pdf: 成功, document_id: 9c8b60d4-13cb-43
  ✅ 1-s2.0-S0921509315005857-main.pdf: 成功, document_id: 274bd611-870c-4b
  ✅ 1-s2.0-S0921509315303890-main.pdf: 成功, document_id: b01aab77-0e3c-4d
  ✅ 1-s2.0-S0921509316300387-main.pdf: 成功, document_id: 70b57dd7-5ade-44
  ✅ 1-s2.0-S0921509316316112-main.pdf: 成功, document_id: 6b242175-6303-49
  ✅ 1-s2.0-S0921509317300126-main.pdf: 成功, document_id: 3abb4976-c0b5-42
  ✅ 1-s2.0-S0921509317301697-main.pdf: 成功, document_id: 12852de7-9fba-49
  ✅ 1-s2.0-S0921509317305270-main.pdf: 成功, document_id: a4e23acf-07aa-44
  ✅ 1-s2.0-S0921509317315538-main.pdf: 成功, document_id: b6c98b6d-5f14-4b
  ✅ 1-s2.0-S0921509318309018-main.pdf: 成功, document_id: d3e16cd7-2a52-47
  ✅ 1-s2.0-S092150931831548X-main.pdf: 成功, document_id: ab163a7f-e91b-46
  ✅ 1-s2.0-S0921509319313681-main.pdf: 成功, document_id: fe70fc00-9e4d-40
  ✅ 1-s2.0-S0921509319313942-main.pdf: 成功, document_id: 9e265dcf-7368-4b
  ✅ 1-s2.0-S0921509319316405-main.pdf: 成功, document_id: ab722a11-d778-48
  ✅ 1-s2.0-S0921509320303701-main.pdf: 成功, document_id: d21e45d8-da6c-4b
  ✅ 1-s2.0-S0921509320304755-main.pdf: 成功, document_id: 32ed5cad-9c36-42
  ✅ 1-s2.0-S092150932100126X-main.pdf: 成功, document_id: 25c6733d-2a6b-49
  ✅ 1-s2.0-S0921509321014489-main.pdf: 成功, document_id: 5c3a81cc-f463-4e
  ✅ 1-s2.0-S0921509321014611-main.pdf: 成功, document_id: f06d5834-285a-43
  ✅ 1-s2.0-S092150932200199X-main.pdf: 成功, document_id: 3ab35582-6629-4d
  ✅ 1-s2.0-S0921509322006803-main.pdf: 成功, document_id: c71946fd-b7c3-45
  ✅ 1-s2.0-S0921509322007390-main.pdf: 成功, document_id: f0d96dee-b847-45
