批量导入报告 - 2026-05-08 23:06:05
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw
产品名称: 自动从文件名提取
文档类型: paper
============================================================

总计: 909 | 成功: 909 | 失败: 0

成功文件:
  ✅ 1-s2.0-S0010938X16311684-main.pdf: 成功, document_id: d6d2ab4a-2d63-41
  ✅ 1-s2.0-S0010938X17303475-main.pdf: 成功, document_id: 809a4c75-037b-44
  ✅ 1-s2.0-S0010938X1931220X-main.pdf: 成功, document_id: b88078c0-4982-4b
  ✅ 1-s2.0-S0013794419302784-main.pdf: 成功, document_id: ab498cb9-60f9-4c
  ✅ 1-s2.0-S0042207X22001270-main.pdf: 成功, document_id: d94fcb26-d8f1-42
  ✅ 1-s2.0-S0042207X23006887-main.pdf: 成功, document_id: a61aae07-1318-4b
  ✅ 1-s2.0-S014211232600143X-main.pdf: 成功, document_id: 2ecddd30-aa33-46
  ✅ 1-s2.0-S0167577X18309339-main.pdf: 成功, document_id: 621c1de9-49db-49
  ✅ 1-s2.0-S0167577X19312303-main.pdf: 成功, document_id: 1f301b14-68b1-47
  ✅ 1-s2.0-S0167577X22000295-main.pdf: 成功, document_id: 80cb3600-148e-4c
  ✅ 1-s2.0-S0167577X23000642-main.pdf: 成功, document_id: 55710074-91f8-40
  ✅ 1-s2.0-S0167577X25002642-main.pdf: 成功, document_id: 31156b5d-58ee-48
  ✅ 1-s2.0-S0254058423009240-main.pdf: 成功, document_id: 406d4c04-fa8c-44
  ✅ 1-s2.0-S0263823125005348-main.pdf: 成功, document_id: 44f65af9-4269-4b
  ✅ 1-s2.0-S0264127519303399-main.pdf: 成功, document_id: 6e171917-202d-4f
  ✅ 1-s2.0-S0264127522006487-main.pdf: 成功, document_id: 442416d0-b026-46
  ✅ 1-s2.0-S0360319925006883-main.pdf: 成功, document_id: 98ac63c5-deee-40
  ✅ 1-s2.0-S0921509314012106-main.pdf: 成功, document_id: cff6de2f-e43a-49
  ✅ 1-s2.0-S0921509315005857-main.pdf: 成功, document_id: 4c8c202d-6ae1-43
  ✅ 1-s2.0-S0921509316300387-main.pdf: 成功, document_id: 1631e6e2-860c-47
  ✅ 1-s2.0-S0921509317301697-main.pdf: 成功, document_id: 09ff4e81-e692-4b
  ✅ 1-s2.0-S0921509317305270-main.pdf: 成功, document_id: c9948bf7-da2a-44
  ✅ 1-s2.0-S0921509318309018-main.pdf: 成功, document_id: 0c17b914-23eb-42
  ✅ 1-s2.0-S092150931831548X-main.pdf: 成功, document_id: 47c26ef4-27f5-44
  ✅ 1-s2.0-S0921509319313681-main.pdf: 成功, document_id: 48e453c6-1018-47
  ✅ 1-s2.0-S0921509319313942-main.pdf: 成功, document_id: a3d70987-07c4-44
  ✅ 1-s2.0-S0921509320303701-main.pdf: 成功, document_id: b1e18f2b-6275-4f
  ✅ 1-s2.0-S0921509320304755-main.pdf: 成功, document_id: 6fbdbdbb-6e99-41
  ✅ 1-s2.0-S092150932100126X-main.pdf: 成功, document_id: 406ea498-f5aa-42
  ✅ 1-s2.0-S0921509321014489-main.pdf: 成功, document_id: 0f4cf802-1dee-43
